编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,卫松之,男,20,3.983495270533739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,钱晓瑾,女,22,3.9668522064290848,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,柳发,男,20,3.9527078389794514,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,史伦东,男,21,3.9431257012033725,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
5,苗承谦,男,20,3.912803308349055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,夏侯聪婕,女,20,3.8367505091527994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
7,邹巧纯,女,21,3.827625994458922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,秦薇,女,22,3.821621914609712,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
9,何凡妹,女,22,3.7961904727528815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,曹全,男,21,3.7707094805769277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,魏悦雪,女,21,3.770541790227032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,昌爽菲,女,21,3.753057275685949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,花晓颖,女,22,3.7285007936424863,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,俞珊琴,女,21,3.7274310068646885,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
15,严妹,女,20,3.718774899254594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,韩素丹,女,20,3.7116698804989854,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,苗平谦,男,21,3.6939189235461978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
18,窦易智,男,20,3.6824728701512432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,苗娅,女,22,3.6029423540268066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,葛航,男,20,3.5632709043402624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,潘霭馨,女,21,3.5570534836776666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,司马云芳,女,21,3.5414229723703134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
