编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,吴婷雅,女,21,3.880436487039722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2,唐朋,男,21,3.844597693654884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,唐海,男,20,3.843107533814487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,施梦,女,21,3.8253803013274386,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,鲁辉厚,男,21,3.823119447758021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,潘佳玲,女,22,3.799746442033327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,凤维伟,男,22,3.7923694844342,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,史爱婵,女,20,3.7793212693990776,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
9,冯卿昭,女,22,3.7790273972594957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,郑新震,男,20,3.77710328137949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,云红凝,女,21,3.763583059610181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,谢春宁,女,22,3.761464196973594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,俞洁霞,女,21,3.696074546716156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,韩庆邦,男,20,3.691075921299338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,张泽,男,21,3.6818343653242325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,葛欢莎,女,20,3.636923522489807,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
17,章飞军,男,22,3.633591358526652,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,秦芳淑,女,22,3.5912866846072875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,秦佳娟,女,21,3.551735975934526,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,皇甫萍娜,女,22,3.5302227182657875,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21,何健雄,男,20,3.5152164030151924,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
22,凤群智,男,21,3.513165963465327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,冯林,男,22,3.4839499895122374,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
24,戚兴,男,22,3.4655921966164556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,苗嘉莺,女,20,3.4619239990607413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,俞东信,男,22,3.451397293128803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,吴楠,男,21,3.4323701155532627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,袁惠黛,女,22,3.39971517728993,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
29,魏泰伦,男,22,3.39570849052091,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
30,秦青艳,女,21,3.3698468852058783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,韦琳柔,女,22,3.361191504116415,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,潘育丽,女,22,3.3505514365457243,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
33,邹奇钧,男,20,3.2846258651410465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,葛行善,男,20,3.2250506100917633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,曹希露,女,21,3.207942902585269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,孙梦静,女,21,3.2053313020598457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,韦琳,女,20,3.190700264493418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,皇甫智强,男,22,3.1805508044016904,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,尤鸣,男,21,3.1113002908168186,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,陈树,男,22,3.0938968368374375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,尤素昭,女,21,3.0367599637183016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,韩茜,女,21,3.0358638442023347,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
43,孔梦澜,女,22,3.0248233779217975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,韦江民,男,20,2.9787092170533676,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,褚有乐,男,22,2.975592574129351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,李莺妍,女,20,2.895862373610463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,郎婷,女,21,2.865646175256331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,施寒馨,女,21,2.863314411370636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,周义毅,男,20,2.8301089849002636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,彭姣红,女,21,2.812234782353502,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,马林,男,20,2.7895947435627964,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,邹岩河,男,22,2.778938465317644,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
53,周柔莎,女,21,2.741419762399839,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
54,上官力,男,20,2.7025638896377866,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,戚卿荷,女,21,2.6968542810344416,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,皇甫波以,男,22,2.6777933447837055,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
57,潘华,女,20,2.6738170889778727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,吴琰,女,20,2.6475801999894717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,花琛腾,男,20,2.620028432260295,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
60,俞维,男,22,2.618570465091894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,朱海,男,22,2.57826382058115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,司马琳柔,女,22,2.5659538399167467,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
63,史丁豪,男,22,2.5486717480696544,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,袁河,男,21,2.529648271930873,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,柳彪哲,男,20,2.527921408001249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,司马琬菲,女,22,2.506975664968175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,韦丽璧,女,22,2.5025437764813097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
68,凤欢,女,20,2.500888201391138,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
69,窦影琦,女,21,2.495004327889946,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
70,冯竹晶,女,21,2.4769851373841663,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,卫宏飞,男,20,2.459329369763423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,孔姬,女,22,2.456537483563315,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,许春融,女,20,2.43390560133681,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
74,万俟仁器,男,21,2.408025861982374,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,潘毅冠,男,22,2.4019759213334666,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
76,郎海有,男,21,2.38256200812121,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,杨坚,男,21,2.375551082822289,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,李智富,男,22,2.359984668580811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,葛发平,男,20,2.3505011517547256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,方乐胜,男,21,2.343248465473229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,施蕊,女,21,2.3254112322472213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,郎菁蓓,女,22,2.295601369596092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,戚悦丽,女,20,2.294252853530084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
84,方兰韵,女,20,2.2461747092455937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,李馨,女,22,2.130598436539525,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
86,苗胜顺,男,21,2.109618246592694,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
87,陶勇鸣,男,22,2.096695433571826,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,上官霞丹,女,20,2.074222199083759,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
89,朱进家,男,20,2.0580732634814414,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
90,杨易翰,男,22,2.016067759142153,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
