编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,马丽爱,女,21,3.9810296070925797,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,袁岩中,男,21,3.9756086671616773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,鲍栋进,男,21,3.946587741140263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,韦伦,男,20,3.9359435004476335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,凤仪凤,女,20,3.9128698198837446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,韦露洁,女,22,3.8991923741194694,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,赵珊琬,女,20,3.8360467069630197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,张荔丹,女,21,3.808611322368079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,苏健谦,男,22,3.807157583164054,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,吕彬军,男,22,3.7899941053828683,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,章国,男,20,3.7790858616110334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,郑强民,男,20,3.7663148894426675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,任刚辉,男,21,3.7338341883759067,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
14,陈霄佳,女,21,3.687054040417447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,俞艺,女,21,3.684883312764118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
16,潘红馨,女,20,3.679459707908343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,杨心学,男,21,3.644338026666132,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
18,欧阳璧,女,22,3.6442969421363536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,赵江飞,男,22,3.5624214758159694,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
20,蒋敬,男,20,3.550902249016315,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,昌枫,女,21,3.543048697364726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,彭仪艺,女,22,3.4974054584543595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,尉迟燕菁,女,21,3.479767342945758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,姜君艺,女,20,3.4779498262466837,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,俞锦,女,22,3.465474439474855,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,章馥,女,20,3.430160599372682,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,吕伯震,男,21,3.405182036972823,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
28,葛斌顺,男,20,3.347054682364475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,苏伦弘,男,21,3.334704784626875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,袁固全,男,21,3.2683608329550573,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,金波,男,21,3.2584897380370608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,孔枫飘,女,21,3.254620552746328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,唐君,女,22,3.2207331955553133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
34,蒋言福,男,20,3.218646415799034,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
35,朱淑荔,女,20,3.201775617654892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,葛明友,男,22,3.176734059565148,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,郎若若,男,20,3.139564306365889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,俞婉,女,20,3.1030825322090756,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,葛眉娅,女,20,3.1008464326427356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,苏晓洁,女,20,3.085202780687048,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
41,金心彪,男,20,3.0650225104056634,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
